SbjNum,d3,PROVINCIA,DISTRITO,ORGANIZACION,A,B,D,E,P1,P2,P3,P4,P5_O1,P5_O2,P5_O3,P5_O4,P6_1,P6_2,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16A,P16B_O1,P16B_O2,P16B_O3,P16B_O4,P16B_O5,P16B_O6,P16B_O7,P16B_O8,P16B_O9,P17,P18,P19,P20,P21,P22,P23,P24_1,P24_2,P24_3,P24_4,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,I_1_P44,I_2_P44,I_3_P44,I_4_P44,I_5_P44,P45,P46,P47,P48,P49,P50,P51,P52,P53,I_1_P54,I_2_P54,I_3_P54,I_4_P54,I_1_P55,I_2_P55,I_1_P56,I_2_P56,P57,P58,P59,NSE,REGX,ent,SEXO,edad
153875943,20,2001,200104,40,1,42,1,1,2,1,8,1,1,NA,NA,NA,2,NA,1,2,1,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,1,10,1,1,5,2,2,1,1,NA,2,2,2,2,NA,3,2,NA,NA,NA,NA,NA,1,1,4,4,4,4,4,2,3,1,96,2,3,2,3,2,1,2,2,1,1,1,2,2,3,1,3,2,24,200,2,3
153875953,21,2101,210101,13,1,61,3,1,1,1,10,1,1,NA,NA,NA,2,NA,1,1,1,1,1,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,1,10,20,5,20,2,2,2,2,3,2,2,2,1,2,3,7,NA,NA,NA,NA,NA,1,1,4,4,4,4,4,2,4,2,96,1,7,7,6,2,1,2,2,1,1,2,2,1,4,1,3,1,42,100,1,5
153876305,2,218,21801,27,1,32,4,1,1,1,7,2,NA,NA,NA,NA,NA,NA,1,2,1,3,3,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,1,15,10,5,10,2,2,1,2,7,2,3,1,2,NA,3,3,NA,NA,NA,NA,NA,3,1,2,3,4,1,2,2,4,1,4,2,6,3,5,1,1,1,2,1,1,1,2,2,3,1,3,1,24,200,2,2
153876878,25,2501,250101,65,1,48,1,1,2,1,8,2,NA,NA,NA,NA,NA,NA,1,2,1,3,1,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,2,2,1,10,2,1,15,2,2,1,1,NA,2,3,2,2,NA,3,3,NA,NA,NA,NA,NA,1,4,NA,NA,NA,NA,NA,3,10,1,96,1,2,3,2,2,2,2,2,1,1,2,2,2,1,2,1,4,51,300,1,4
153876963,21,2101,210101,13,1,21,2,1,2,1,9,1,1,NA,NA,NA,2,NA,1,2,1,2,2,2,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,1,60,2,5,5,2,2,2,1,NA,2,2,2,2,NA,3,1,NA,NA,NA,NA,NA,4,1,4,4,4,4,4,2,2,3,5,1,3,3,3,2,1,2,2,2,2,2,2,2,3,1,3,3,42,100,1,1
153876964,21,2101,210101,13,1,43,1,1,2,104,7,1,1,NA,NA,NA,1,NA,1,2,1,2,2,2,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,1,30,2,30,5,2,2,2,2,60,2,2,2,1,2,3,5,NA,NA,NA,NA,NA,1,1,4,4,4,4,3,2,1,1,25,1,6,4,5,2,1,1,1,1,1,1,2,2,3,1,3,1,42,100,1,3
153877337,16,1601,160101,51,1,28,1,1,2,1,10,1,1,NA,NA,NA,2,NA,1,1,1,2,2,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,1,10,5,5,10,2,2,1,2,15,2,2,1,2,NA,3,1,NA,NA,NA,NA,NA,1,1,3,4,4,4,4,2,1,1,9,2,3,3,3,2,2,2,2,1,1,1,2,2,3,1,3,2,51,300,2,2
153877400,8,801,80105,29,1,24,1,1,2,3,10,2,NA,NA,NA,NA,NA,NA,1,1,1,3,2,2,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,2,2,1,5,5,5,10,2,2,2,1,NA,2,3,2,2,NA,3,1,NA,NA,NA,NA,NA,1,2,4,4,4,4,4,2,1,1,98,2,3,2,3,2,2,2,2,2,1,2,2,2,2,2,3,4,42,200,2,1
153877401,8,801,80105,29,1,25,1,3,2,1,5,2,NA,NA,NA,NA,NA,NA,1,2,1,3,3,2,2,2,1,18,6,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,2,2,2,1,15,10,10,15,2,2,2,1,NA,2,3,2,2,NA,3,3,NA,NA,NA,NA,NA,2,1,3,4,4,4,4,2,10,1,1,2,4,3,4,2,1,1,1,1,2,2,1,2,2,2,3,2,42,200,2,2
153877402,8,801,80105,29,1,34,1,1,2,3,9,2,NA,NA,NA,NA,NA,NA,1,2,1,3,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,1,25,6,5,15,2,2,2,1,NA,2,3,2,2,NA,3,1,NA,NA,NA,NA,NA,1,1,4,4,4,4,4,2,16,3,9,2,5,2,5,2,1,1,1,1,2,1,1,2,4,1,3,1,42,200,2,2
153877541,25,2501,250101,65,1,26,1,1,2,3,10,2,NA,NA,NA,NA,NA,NA,1,2,1,3,2,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,2,2,2,15,1,1,10,2,2,1,1,NA,2,3,2,2,NA,3,3,NA,NA,NA,NA,NA,1,4,NA,NA,NA,NA,NA,1,10,1,96,1,3,4,3,2,2,2,2,2,1,1,2,2,3,2,3,3,51,300,1,2
153877694,8,801,80104,38,1,26,1,1,1,1,7,1,3,NA,NA,NA,NA,NA,1,1,1,1,1,1,2,1,1,2,6,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,2,2,1,15,10,15,15,2,1,1,1,NA,2,2,2,2,NA,3,1,NA,NA,NA,NA,NA,1,1,3,4,4,2,3,2,10,1,8,2,4,4,4,2,1,2,1,1,1,1,2,2,2,2,3,2,42,200,2,2
153878138,25,2501,250101,68,1,45,1,1,1,1,10,2,NA,NA,NA,NA,NA,NA,1,2,1,3,2,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,2,2,5,25,1,1,15,1,2,3,1,NA,2,3,2,2,NA,3,3,NA,NA,NA,NA,NA,1,4,NA,NA,NA,NA,NA,3,239,2,96,1,2,3,2,2,2,2,2,2,2,1,2,2,2,2,1,4,51,300,1,4
153878342,23,2301,230101,49,1,66,1,1,2,3,7,1,1,NA,NA,NA,2,NA,1,2,1,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,2,2,1,15,10,5,15,2,2,1,1,NA,2,2,2,2,NA,3,3,NA,NA,NA,NA,NA,1,4,NA,NA,NA,NA,NA,2,10,1,96,1,3,3,3,2,1,1,1,1,1,1,1,2,4,1,3,1,42,300,1,5
153878385,17,1701,170101,64,1,56,2,1,3,101,5,1,1,NA,NA,NA,3,NA,2,3,3,3,3,3,2,3,1,1,96,NA,NA,NA,NA,NA,NA,NA,NA,3,2,3,3,2,2,1,30,30,50,10,3,3,1,1,NA,3,3,3,1,2,3,2,NA,NA,NA,NA,NA,1,1,4,4,4,3,4,3,107,1,2,2,6,4,5,1,1,1,2,1,1,1,2,2,4,1,3,1,51,300,2,5
153878545,22,2209,220901,43,1,34,1,1,2,4,10,1,2,NA,NA,NA,NA,2,1,1,1,2,2,1,1,1,1,1,96,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,1,2,2,1,10,0,15,30,3,1,1,1,NA,1,1,1,2,NA,3,5,NA,NA,NA,NA,NA,1,1,4,4,4,4,4,1,5,1,98,2,3,2,3,2,1,1,1,1,1,1,2,2,1,1,1,2,51,300,2,2
153878743,8,801,80104,38,1,38,3,1,2,2,7,2,NA,NA,NA,NA,NA,NA,3,4,3,3,4,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,50,20,10,12,3,2,2,1,NA,2,3,2,1,1,3,3,NA,NA,NA,NA,NA,2,2,4,4,4,4,4,3,216,3,1,1,3,3,3,2,1,2,2,1,2,1,2,2,3,1,3,2,42,200,1,3
153878779,20,2001,200101,40,1,40,1,1,2,2,7,1,1,NA,NA,NA,2,NA,1,1,1,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,2,2,1,10,0,1,5,2,2,2,2,30,2,2,2,2,NA,3,1,NA,NA,NA,NA,NA,1,1,3,4,4,3,4,1,5,1,9,2,2,3,3,2,1,2,2,1,1,1,2,2,3,1,3,2,24,200,2,3
153878989,25,2501,250101,69,1,22,1,1,2,3,9,2,NA,NA,NA,NA,NA,NA,1,2,1,3,1,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,2,2,12,15,1,1,10,2,2,1,1,NA,2,3,2,2,NA,3,1,NA,NA,NA,NA,NA,1,1,4,4,4,4,4,2,1,1,96,2,3,3,3,2,2,2,2,2,2,1,2,2,1,2,1,4,51,300,2,1
