"","FECHA","TC_NOMINAL","RESERVA_INT","RENDIMIENTO_BONO","ORO","PETROLEO","ANIO"
"226",2020-01-21,3.317,68887.9498714,4.4729,1551.3,58.25,2020
"227",2020-01-22,3.313,69096.80780126,4.4761,1556.9,56.76,2020
"228",2020-01-23,3.319,69199.85048319,4.4761,1562.9,55.51,2020
"229",2020-01-24,3.323,69032.31288746,4.4677,1564.3,54.09,2020
"230",2020-01-25,3.323,69032.31288746,4.4677,1564.3,54.09,2020
"231",2020-01-26,3.323,69032.31288746,4.4677,1564.3,54.09,2020
"232",2020-01-27,3.331,69076.92643152,4.4756,1580.1,53.09,2020
"233",2020-01-28,3.338,69072.888684,4.3942,1574,53.33,2020
"234",2020-01-29,3.344,69328.20195518,4.3668,1573.45,53.29,2020
"235",2020-01-30,3.365,69173.35844987,4.372,1578.25,52.19,2020
"236",2020-01-31,3.384,68398.65169536,4.3601,1584.2,51.58,2020
"237",2020-02-01,3.384,68398.65169536,4.3601,1584.2,51.58,2020
"238",2020-02-02,3.384,68398.65169536,4.3601,1584.2,51.58,2020
"239",2020-02-03,3.371,68820.2323062,4.3029,1574.75,50.06,2020
"240",2020-02-04,3.362,68648.66370525,4.3029,1558.35,49.59,2020
"241",2020-02-05,3.361,68790.14719154,4.2764,1553.3,50.87,2020
"242",2020-02-06,3.375,68812.39939784,4.3124,1563.3,50.94,2020
"243",2020-02-07,3.388,68976.74010963,4.3027,1572.65,50.34,2020
"244",2020-02-08,3.388,68976.74010963,4.3027,1572.65,50.34,2020
"245",2020-02-09,3.388,68976.74010963,4.3027,1572.65,50.34,2020
"246",2020-02-10,3.393,68989.46811693,4.2845,1573.2,49.59,2020
"247",2020-02-11,3.387,69018.05764327,4.2873,1570.5,50,2020
"248",2020-02-12,3.378,69132.0189946,4.2873,1563.7,51.13,2020
"249",2020-02-13,3.384,68742.18544787,4.2893,1575.05,51.41,2020
"250",2020-02-14,3.378,68664.6144672,4.2721,1581.4,52.03,2020
"251",2020-02-15,3.378,68664.6144672,4.2721,1581.4,52.03,2020
"252",2020-02-16,3.378,68664.6144672,4.2721,1581.4,52.03,2020
"253",2020-02-17,3.378,68666.42915337,4.2242,1580.8,52.03,2020
"254",2020-02-18,3.382,68581.97570519,4.1816,1589.85,52.1,2020
"255",2020-02-19,3.381,68535.00959924,4.1899,1604.2,53.31,2020
"256",2020-02-20,3.391,68334.22860535,4.2072,1619,53.77,2020
"257",2020-02-21,3.385,68422.19553099,4.2072,1643.3,53.36,2020
"258",2020-02-22,3.385,68422.19553099,4.2072,1643.3,53.36,2020
"259",2020-02-23,3.385,68422.19553099,4.2072,1643.3,53.36,2020
"260",2020-02-24,3.404,68400.73433802,4.1439,1671.65,51.36,2020
"261",2020-02-25,3.41,68393.04952316,4.1468,1650.3,49.78,2020
"262",2020-02-26,3.409,68278.09094258,4.1927,1634.9,48.67,2020
"263",2020-02-27,3.433,68178.6227771,4.2349,1652,47.17,2020
"264",2020-02-28,3.453,67610.65790024,4.5157,1609.85,44.83,2020
"265",2020-02-29,3.453,67610.65790024,4.5157,1609.85,44.83,2020
"266",2020-03-01,3.453,67610.65790024,4.5157,1609.85,44.83,2020
"267",2020-03-02,3.441,68098.90095151,4.2837,1599.65,46.78,2020
"268",2020-03-03,3.422,68079.32067408,4.1779,1599.65,47.27,2020
"269",2020-03-04,3.418,68058.80575576,4.0525,1641.85,46.78,2020
"270",2020-03-05,3.459,68067.20383575,4.0494,1659.6,45.9,2020
"271",2020-03-06,3.47,68461.11839236,4.0952,1683.65,41.14,2020
"272",2020-03-07,3.47,68461.11839236,4.0952,1683.65,41.14,2020
"273",2020-03-08,3.47,68461.11839236,4.0952,1683.65,41.14,2020
"274",2020-03-09,3.506,68475.69955757,4.2179,1672.5,31.05,2020
"275",2020-03-10,3.501,68353.91977375,4.3264,1655.7,34.47,2020
"276",2020-03-11,3.517,68438.21314458,4.5106,1653.75,33.13,2020
"277",2020-03-12,3.527,68263.90737281,5.214,1570.7,31.56,2020
"278",2020-03-13,3.52,68149.29119657,5.2181,1562.8,31.72,2020
"279",2020-03-14,3.52,68149.29119657,5.2181,1562.8,31.72,2020
"280",2020-03-15,3.52,68149.29119657,5.2181,1562.8,31.72,2020
"281",2020-03-16,3.552,68069.19102868,6,1487.7,28.96,2020
"282",2020-03-17,3.543,67757.36013324,5.872,1536.2,26.96,2020
"283",2020-03-18,3.572,67428.30959873,6.5,1498.2,20.48,2020
"284",2020-03-19,3.554,66977.75411439,6.1,1474.25,25.09,2020
"285",2020-03-20,3.528,67483.74981024,5.9,1494.4,19.48,2020
"286",2020-03-21,3.528,67483.74981024,5.9,1494.4,19.48,2020
"287",2020-03-22,3.528,67483.74981024,5.9,1494.4,19.48,2020
"288",2020-03-23,3.532,67921.41020625,6.1,1525.4,23.33,2020
"289",2020-03-24,3.519,68017.99802039,6,1605.75,21.03,2020
"290",2020-03-25,3.476,68043.93380777,5.1,1605.45,20.75,2020
"291",2020-03-26,3.396,68470.92720977,4.8,1634.8,16.6,2020
"292",2020-03-27,3.41,68533.83712458,4.95,1617.3,15.48,2020
"293",2020-03-28,3.41,68533.83712458,4.95,1617.3,15.48,2020
"294",2020-03-29,3.41,68533.83712458,4.95,1617.3,15.48,2020
"295",2020-03-30,3.438,68537.03153014,5.202,1618.3,14.1,2020
"296",2020-03-31,3.431,68022.02710911,5.25,1608.95,20.51,2020
"297",2020-04-01,3.465,68472.09642447,5.7,1576.55,20.28,2020
"298",2020-04-02,3.44,68843.84587572,5.81,1616.8,25.18,2020
"299",2020-04-03,3.458,69214.21854552,5.9,1613.1,28.36,2020
"300",2020-04-04,3.458,69214.21854552,5.9,1613.1,28.36,2020
"301",2020-04-05,3.458,69214.21854552,5.9,1613.1,28.36,2020
"302",2020-04-06,3.39,69413.13106662,5.95,1648.3,26.21,2020
"303",2020-04-07,3.363,69750.43870755,5.55,1649.25,23.54,2020
"304",2020-04-08,3.37,69796.70848567,5.43,1647.8,24.97,2020
"305",2020-04-09,3.37,69796.70848567,5.43,1647.8,24.97,2020
